site,age,total_cover,open_space,cover01
CAN-BCQ,30,0,100,0
CAN-BCQ,30,0,100,0
CAN-BCQ,30,14,86,0.14
CAN-BCQ,30,14,86,0.14
CAN-BCQ,30,0,100,0
CAN-BCQ,30,5,95,0.05
CAN-BCQ,60,7,93,0.07
CAN-BCQ,60,26,74,0.26
CAN-BCQ,60,35,65,0.35
CAN-BCQ,60,58,42,0.58
CAN-BCQ,60,61,39,0.61
CAN-BCQ,60,8,92,0.08
CAN-BCQ,90,90,10,0.9
CAN-BCQ,90,99,1,0.99
CAN-BCQ,90,97,3,0.97
CAN-BCQ,90,100,0,1
CAN-BCQ,90,81,19,0.81
CAN-BCQ,90,91,9,0.91
PAN-BDT,30,47,53,0.47
PAN-BDT,30,31,69,0.31
PAN-BDT,30,23,77,0.23
PAN-BDT,30,46,54,0.46
PAN-BDT,30,48,52,0.48
PAN-BDT,30,31,69,0.31
PAN-BDT,60,0,100,0
PAN-BDT,60,94,6,0.94
PAN-BDT,60,68,31,0.68
PAN-BDT,60,67,32,0.67
PAN-BDT,60,76,24,0.76
PAN-BDT,60,93,7,0.93
PAN-BDT,90,97,3,0.97
PAN-BDT,90,99,1,0.99
PAN-BDT,90,100,0,1
PAN-BDT,90,67,33,0.67
POR-MAD,30,25,75,0.25
POR-MAD,30,22,78,0.22
POR-MAD,30,28,72,0.28
POR-MAD,30,43,57,0.43
POR-MAD,30,49,51,0.49
POR-MAD,30,27,73,0.27
POR-MAD,60,21,79,0.21
POR-MAD,60,79,21,0.79
POR-MAD,60,41,59,0.41
POR-MAD,60,46,54,0.46
POR-MAD,60,42,58,0.42
POR-MAD,60,35,65,0.35
POR-MAD,90,67,33,0.67
POR-MAD,90,31,69,0.31
POR-MAD,90,81,19,0.81
POR-MAD,90,73,27,0.73
POR-MAD,90,78,22,0.78
POR-MAD,90,83,17,0.83
USA-SBH,30,14,86,0.14
USA-SBH,30,14,86,0.14
USA-SBH,30,11,89,0.11
USA-SBH,30,8,92,0.08
USA-SBH,30,11,89,0.11
USA-SBH,30,9,91,0.09
USA-SBH,60,90,10,0.9
USA-SBH,60,74,26,0.74
USA-SBH,60,66,34,0.66
USA-SBH,60,60,40,0.6
USA-SBH,60,71,29,0.71
USA-SBH,60,52,48,0.52
USA-SBH,90,81,19,0.81
USA-SBH,90,100,0,1
USA-SBH,90,93,7,0.93
USA-SBH,90,94,6,0.94
USA-SBH,90,84,16,0.84
USA-SBH,90,99,1,0.99
USA-ALD-PIER,30,74,26,0.74
USA-ALD-PIER,30,68,32,0.68
USA-ALD-PIER,30,84,16,0.84
USA-ALD-PIER,30,75,25,0.75
USA-ALD-PIER,30,98,2,0.98
USA-ALD-PIER,30,77,23,0.77
USA-ALD-PIER,60,81,19,0.81
USA-ALD-PIER,60,100,0,1
USA-ALD-PIER,60,99,1,0.99
USA-ALD-PIER,60,88,12,0.88
USA-ALD-PIER,60,94,6,0.94
USA-ALD-PIER,60,92,8,0.92
USA-ALD-PIER,90,70,30,0.7
USA-ALD-PIER,90,64,36,0.64
USA-ALD-PIER,90,77,23,0.77
USA-ALD-PIER,90,85,15,0.85
USA-ALD-PIER,90,61,39,0.61
USA-ALD-PIER,90,79,21,0.79
USA-CBB,30,4,96,0.04
USA-CBB,30,6,94,0.06
USA-CBB,30,8,92,0.08
USA-CBB,30,13,87,0.13
USA-CBB,30,8,92,0.08
USA-CBB,30,15,85,0.15
USA-CBB,60,91,9,0.91
USA-CBB,60,82,18,0.82
USA-CBB,60,99,1,0.99
USA-CBB,60,81,19,0.81
USA-CBB,60,87,12,0.87
